Rank,Name,Worldwide Box Office,Movies,Average
127,Steve Martino,"$1,429,334,633",4,"$357,333,658"
128,Tim Story,"$1,425,634,806",18,"$79,201,934"
129,Chris Sanders,"$1,421,090,605",5,"$284,218,121"
130,Jaume Collet-Serra,"$1,417,100,179",12,"$118,091,682"
131,Aaron Horvath,"$1,415,022,031",2,"$707,511,016"
132,Rob Cohen,"$1,412,045,943",14,"$100,860,425"
133,Scott Derrickson,"$1,395,368,941",10,"$139,536,894"
134,Edward Zwick,"$1,392,979,729",14,"$99,498,552"
135,Genndy Tartakovsky,"$1,382,116,856",5,"$276,423,371"
136,Barry Levinson,"$1,363,627,808",28,"$48,700,993"
137,Michael Jelenic,"$1,363,401,438",1,"$1,363,401,438"
138,Chris Miller,"$1,362,318,413",4,"$340,579,603"
139,Nancy Meyers,"$1,351,418,684",6,"$225,236,447"
140,John Woo,"$1,337,971,394",17,"$78,704,200"
141,Kirk Wise,"$1,334,089,686",5,"$266,817,937"
142,Woody Allen,"$1,325,974,676",50,"$26,519,494"
143,Brad Peyton,"$1,324,749,337",9,"$147,194,371"
144,Jia Ling,"$1,321,313,256",2,"$660,656,628"
145,Hayao Miyazaki,"$1,314,815,304",12,"$109,567,942"
146,Oliver Stone,"$1,309,386,345",22,"$59,517,561"
147,Joachim Ronnin,"$1,284,043,151",2,"$642,021,576"
148,Luc Besson,"$1,275,206,783",17,"$75,012,164"
149,Hu Guan,"$1,274,498,325",5,"$254,899,665"
150,Sydney Pollack,"$1,272,536,860",18,"$70,696,492"
151,George Miller,"$1,270,860,488",14,"$90,775,749"
152,Jan De Bont,"$1,266,649,848",6,"$211,108,308"
153,Guillermo del Toro,"$1,247,844,390",14,"$89,131,742"
154,John McTiernan,"$1,247,500,036",11,"$113,409,094"
155,Phillip Noyce,"$1,238,858,642",16,"$77,428,665"
156,Phil Lord,"$1,238,550,410",6,"$206,425,068"
157,Christopher Miller,"$1,238,550,410",5,"$247,710,082"
158,David Ayer,"$1,230,812,597",11,"$111,892,054"
159,Paul Feig,"$1,225,525,492",11,"$111,411,408"
160,Jennifer Yuh Nelson,"$1,224,369,800",3,"$408,123,267"
161,Peter Segal,"$1,222,614,091",12,"$101,884,508"
162,Renny Harlin,"$1,204,764,760",25,"$48,190,590"
163,Gary Ross,"$1,197,400,146",6,"$199,566,691"
164,Adam Shankman,"$1,193,722,633",10,"$119,372,263"
165,Baz Luhrmann,"$1,187,826,864",6,"$197,971,144"
166,Roger Allers,"$1,179,206,303",3,"$393,068,768"
167,Michael Apted,"$1,169,928,194",25,"$46,797,128"
168,Joel Coen,"$1,162,884,389",19,"$61,204,442"
169,Simon West,"$1,149,902,698",13,"$88,454,054"
170,Mel Gibson,"$1,146,175,415",8,"$143,271,927"
171,Ryan Fleck,"$1,142,713,332",6,"$190,452,222"
172,Muye Wen,"$1,137,900,519",4,"$284,475,130"
173,Anna Boden,"$1,137,801,607",5,"$227,560,321"
174,David Silverman,"$1,100,379,545",3,"$366,793,182"
175,Robert Schwentke,"$1,094,443,111",9,"$121,604,790"
176,Joseph McGinty Nichol,"$1,091,870,976",11,"$99,260,998"
177,Will Gluck,"$1,091,051,606",8,"$136,381,451"
178,Alan Taylor,"$1,090,174,860",4,"$272,543,715"
179,Michael Mann,"$1,082,550,105",13,"$83,273,085"
180,Josh Cooley,"$1,072,817,964",3,"$357,605,988"
181,Paul King,"$1,072,703,830",4,"$268,175,958"
182,Paul Verhoeven,"$1,066,161,365",13,"$82,012,413"
183,Wu Jing,"$1,054,361,995",2,"$527,180,998"
184,Jonathan Liebesman,"$1,054,256,576",4,"$263,564,144"
185,Han Han,"$1,052,398,816",5,"$210,479,763"
186,Lasse Hallström,"$1,051,382,766",19,"$55,335,935"
187,Patty Jenkins,"$1,048,252,319",4,"$262,063,080"
188,Mike Nichols,"$1,047,431,023",18,"$58,190,612"
189,Brian De Palma,"$1,037,131,273",24,"$43,213,803"
190,Garth Jennings,"$1,035,598,770",2,"$517,799,385"
191,Tim Miller,"$1,032,315,357",2,"$516,157,679"
192,Tyler Perry,"$1,024,494,330",27,"$37,944,234"
193,Peter Sohn,"$1,023,988,123",3,"$341,329,374"
194,Chad Stahelski,"$1,018,516,111",8,"$127,314,514"
195,Stephen Chow,"$1,017,854,320",7,"$145,407,760"
196,Betty Thomas,"$1,016,552,451",7,"$145,221,779"
197,Tom Hooper,"$1,012,962,960",5,"$202,592,592"
198,Frank Coraci,"$995,262,143",9,"$110,584,683"
199,Chris Williams,"$975,278,034",3,"$325,092,678"
200,Francis Ford Coppola,"$967,648,273",23,"$42,071,664"
201,Tim Johnson,"$962,620,890",5,"$192,524,178"
202,John Landis,"$961,753,558",18,"$53,430,753"
203,Danny Boyle,"$958,599,708",16,"$59,912,482"
204,Rawson Marshall Thurber,"$957,914,827",8,"$119,739,353"
205,Rob Reiner,"$955,442,151",21,"$45,497,245"
206,Andy Tennant,"$953,235,557",11,"$86,657,778"
207,Gary Trousdale,"$950,205,863",3,"$316,735,288"
208,David F. Sandberg,"$950,031,457",6,"$158,338,576"
209,Adrian Lyne,"$948,596,185",10,"$94,859,619"
210,Andrew Davis,"$935,717,764",11,"$85,065,251"
211,Adam McKay,"$927,918,446",10,"$92,791,845"
212,Wes Ball,"$924,764,559",6,"$154,127,427"
213,Xu Zheng,"$922,817,254",6,"$153,802,876"
214,James Foley,"$908,908,212",13,"$69,916,016"
215,Jerry Zucker,"$907,747,809",6,"$151,291,302"
216,Paul Weitz,"$900,674,502",13,"$69,282,654"
217,David O. Russell,"$899,499,770",12,"$74,958,314"
218,D.J. Caruso,"$899,043,170",15,"$59,936,211"
219,Wes Craven,"$897,483,799",20,"$44,874,190"
220,John Glen,"$893,563,642",7,"$127,651,949"
221,Brian Levant,"$891,685,930",10,"$89,168,593"
222,Kevin Lima,"$890,853,958",6,"$148,475,660"
223,Mark Waters,"$888,735,482",14,"$63,481,106"
224,Don Hall,"$884,218,748",4,"$221,054,687"
225,Michael Thurmeier,"$879,765,137",1,"$879,765,137"
226,Nora Ephron,"$877,804,290",7,"$125,400,613"
227,Peter Weir,"$875,761,670",12,"$72,980,139"
228,Alejandro Gonzalez Inarritu,"$873,267,860",7,"$124,752,551"
229,Vicky Jenson,"$870,490,959",4,"$217,622,740"
230,Seth MacFarlane,"$860,009,327",3,"$286,669,776"
231,Darren Aronofsky,"$856,822,914",10,"$85,682,291"
232,Makoto Shinkai,"$855,205,963",8,"$106,900,745"
233,Chuck Russell,"$845,744,729",10,"$84,574,473"
234,Nicholas Stoller,"$837,981,333",9,"$93,109,037"
235,John Badham,"$825,101,546",14,"$58,935,825"
236,David Gordon Green,"$816,836,704",18,"$45,379,817"
237,Espen Sandberg,"$816,708,185",4,"$204,177,046"
238,David Frankel,"$811,996,231",10,"$81,199,623"
239,Len Wiseman,"$803,270,454",5,"$160,654,091"
240,Cary Joji Fukunaga,"$800,040,825",5,"$160,008,165"
241,Kevin Reynolds,"$799,973,995",8,"$99,996,749"
242,Robert Luketic,"$792,426,955",8,"$99,053,369"
243,David Slade,"$786,378,984",3,"$262,126,328"
244,Tim Hill,"$784,311,514",8,"$98,038,939"
245,Frank Oz,"$780,044,919",13,"$60,003,455"
246,Brenda Chapman,"$774,963,369",4,"$193,740,842"
247,Brad Silberling,"$770,873,845",8,"$96,359,231"
248,Robert Stromberg,"$758,536,735",1,"$758,536,735"
249,Cameron Crowe,"$757,465,846",9,"$84,162,872"
250,Roger Donaldson,"$755,985,566",18,"$41,999,198"
251,Alex Proyas,"$752,288,625",6,"$125,381,438"
252,Dan Scanlon,"$743,455,810",1,"$743,455,810"
253,Malcolm D. Lee,"$742,828,760",13,"$57,140,674"
254,Yang Yu,"$742,718,496",1,"$742,718,496"
255,John G. Avildsen,"$741,399,381",15,"$49,426,625"
256,Joe Wright,"$739,520,633",10,"$73,952,063"
257,Lee Tamahori,"$736,483,955",11,"$66,953,087"
258,Mark Osborne,"$733,937,806",3,"$244,645,935"
259,Seth Gordon,"$732,745,505",6,"$122,124,251"
260,Jonathan Mostow,"$730,584,420",7,"$104,369,203"
261,John Stevenson,"$729,369,637",3,"$243,123,212"
262,Irvin Kershner,"$727,901,086",3,"$242,633,695"
263,Neill Blomkamp,"$721,719,685",5,"$144,343,937"
264,Raman Hui,"$720,979,406",2,"$360,489,703"
265,Yibai Zhang,"$719,974,617",5,"$143,994,923"
266,William Friedkin,"$719,908,670",19,"$37,889,930"
267,Steve Carr,"$716,323,487",9,"$79,591,499"
268,Jonathan Demme,"$712,710,570",24,"$29,696,274"
269,Timur Bekmambetov,"$712,443,704",11,"$64,767,609"
270,Sean Anders,"$712,285,883",8,"$89,035,735"
271,Curtis Hanson,"$711,185,778",11,"$64,653,253"
272,Chris Wedge,"$710,553,582",3,"$236,851,194"
273,Michael Patrick King,"$709,928,036",3,"$236,642,679"
274,Jeff Fowler,"$707,690,550",3,"$235,896,850"
275,David Zucker,"$704,692,127",10,"$70,469,213"
276,Phyllida Lloyd,"$702,725,250",3,"$234,241,750"
277,Judd Apatow,"$701,203,034",9,"$77,911,448"
278,Joel Crawford,"$700,050,912",3,"$233,350,304"
279,Jason Reitman,"$699,735,860",11,"$63,612,351"
280,John Singleton,"$686,271,634",9,"$76,252,404"
281,Peter Ramsey,"$682,406,297",2,"$341,203,149"
282,Justin K. Thompson,"$681,812,736",2,"$340,906,368"
283,Joaquim Dos Santos,"$681,812,736",3,"$227,270,912"
284,Kemp Powers,"$681,812,736",2,"$340,906,368"
285,Jordan Peele,"$680,359,199",4,"$170,089,800"
286,Roger Spottiswoode,"$680,195,204",14,"$48,585,372"
287,Anne Fletcher,"$678,820,666",7,"$96,974,381"
288,Alan J. Pakula,"$676,146,911",13,"$52,011,301"
289,Keenen Ivory Wayans,"$673,822,088",6,"$112,303,681"
290,Wong Jing,"$664,269,954",11,"$60,388,178"
291,Stephen Herek,"$661,713,517",18,"$36,761,862"
292,John Madden,"$653,830,421",13,"$50,294,648"
293,Steven Caple Jr,"$651,579,916",3,"$217,193,305"
294,Donald Petrie,"$650,245,188",13,"$50,018,861"
295,Damien Chazelle,"$643,139,856",5,"$128,627,971"
296,James Bobin,"$637,804,611",5,"$127,560,922"
297,Walt Becker,"$637,418,966",5,"$127,483,793"
298,Herman Yau,"$633,938,902",19,"$33,365,205"
299,Taylor Hackford,"$632,738,278",15,"$42,182,552"
300,John Krasinski,"$632,700,273",5,"$126,540,055"
301,Xue Xiaolu,"$630,544,781",3,"$210,181,594"
302,Wuershan,"$630,363,423",3,"$210,121,141"
303,Andrew Lau,"$630,336,568",8,"$78,792,071"
304,Andy Fickman,"$630,008,244",12,"$52,500,687"
305,David Dobkin,"$623,700,070",7,"$89,100,010"
306,Ben Stiller,"$618,041,759",8,"$77,255,220"
307,Clyde Geronimi,"$607,396,772",7,"$86,770,967"
308,James L. Brooks,"$604,048,590",7,"$86,292,656"
309,Larry Charles,"$596,564,556",8,"$74,570,570"
310,Wes Anderson,"$596,465,457",15,"$39,764,364"
311,Stephen Frears,"$596,078,302",22,"$27,094,468"
312,Harold Ramis,"$595,733,928",11,"$54,157,630"
313,Catherine Hardwicke,"$594,844,952",14,"$42,488,925"
314,Michael Chaves,"$591,461,025",3,"$197,153,675"
315,Duncan Jones,"$590,004,396",5,"$118,000,879"
316,Gavin Hood,"$585,824,188",7,"$83,689,170"
317,Spike Lee,"$585,306,616",31,"$18,880,859"
318,Herbert Ross,"$583,034,336",19,"$30,686,018"
319,Nathan Greno,"$582,440,151",1,"$582,440,151"
320,Karey Kirkpatrick,"$580,079,586",3,"$193,359,862"
321,John Lee Hancock,"$579,209,611",8,"$72,401,201"
322,Sam Taylor-Johnson,"$578,661,150",5,"$115,732,230"
323,Haruo Sotozaki,"$578,578,362",9,"$64,286,485"
324,Mick Jackson,"$576,836,762",7,"$82,405,252"
325,Norman Jewison,"$573,947,588",22,"$26,088,527"
326,Kirk De Micco,"$573,068,425",1,"$573,068,425"
327,Shen Ao,"$572,190,255",2,"$286,095,128"
328,Jeff Tremaine,"$571,939,128",11,"$51,994,466"
329,Ol Parker,"$569,893,797",4,"$142,473,449"
330,Baltasar Kormakur,"$569,347,351",10,"$56,934,735"
331,Rupert Sanders,"$568,932,436",5,"$113,786,487"
332,Randal Kleiser,"$568,872,812",10,"$56,887,281"
333,Neil Burger,"$564,154,799",6,"$94,025,800"
334,Jordan Vogt-Roberts,"$562,434,668",3,"$187,478,223"
335,Jim Abrahams,"$560,178,776",8,"$70,022,347"
336,Harald Zwart,"$556,019,223",5,"$111,203,845"
337,Mark Andrews,"$554,763,947",2,"$277,381,974"
338,Robert Wise,"$554,158,868",17,"$32,597,580"
339,Peter Hyams,"$552,814,089",17,"$32,518,476"
340,Morten Tyldum,"$549,752,465",3,"$183,250,822"
341,Nick Cassavetes,"$549,325,630",12,"$45,777,136"
342,Richard Marquand,"$544,536,543",4,"$136,134,136"
343,Martin Brest,"$543,485,218",6,"$90,580,870"
344,Travis Knight,"$542,743,711",4,"$135,685,928"
345,Ethan Coen,"$542,621,743",10,"$54,262,174"
346,Yan Han (韩延),"$539,425,987",8,"$67,428,248"
347,Adam Wingard,"$538,005,955",11,"$48,909,632"
348,Guy Hamilton,"$537,457,339",10,"$53,745,734"
349,Emile Ardolino,"$537,282,767",6,"$89,547,128"
350,Alexander Payne,"$537,256,626",10,"$53,725,663"
351,Roger Michell,"$536,334,307",12,"$44,694,526"
352,Anthony Minghella,"$534,590,495",7,"$76,370,071"
353,Gabriele Muccino,"$533,338,493",10,"$53,333,849"
354,Phil Johnston,"$529,290,830",1,"$529,290,830"
355,Kent Seki,"$527,909,949",1,"$527,909,949"
356,Wilson Yip,"$526,423,842",6,"$87,737,307"
357,Tarsem Singh,"$525,526,331",6,"$87,587,722"
358,Ben Affleck,"$525,289,366",6,"$87,548,228"
359,Takashi Yamazaki,"$523,822,958",14,"$37,415,926"
360,P.J. Hogan,"$521,781,347",6,"$86,963,558"
361,Alessandro Carloni,"$521,170,825",1,"$521,170,825"
362,Rupert Wyatt,"$519,067,441",5,"$103,813,488"
363,Olivier Nakache,"$515,405,932",4,"$128,851,483"
364,Eric Toledano,"$515,405,932",4,"$128,851,483"
365,Yarrow Cheney,"$514,873,747",1,"$514,873,747"
366,Scott Mosier,"$514,873,747",1,"$514,873,747"
367,Amy Heckerling,"$514,226,329",9,"$57,136,259"
368,Kevin Costner,"$513,663,920",7,"$73,380,560"
369,Wilfred Jackson,"$509,648,028",8,"$63,706,004"
370,Destin Daniel Cretton,"$507,008,991",6,"$84,501,499"
371,Mimi Leder,"$506,909,625",7,"$72,415,661"
372,Andy Serkis,"$506,450,038",4,"$126,612,510"
373,Steve Hickner,"$506,207,765",2,"$253,103,883"
374,Jean-Jacques Annaud,"$505,759,323",11,"$45,978,120"
375,Darren Lynn Bousman,"$500,669,357",14,"$35,762,097"
376,Xiang Liu,"$496,673,324",2,"$248,336,662"
377,Huida Lin,"$491,748,959",3,"$163,916,320"
378,Daniel Espinosa,"$490,676,122",6,"$81,779,354"
379,Walter Hill,"$487,501,380",23,"$21,195,712"
380,John Moore,"$486,607,662",6,"$81,101,277"
381,Rui Cui (崔睿),"$486,153,324",1,"$486,153,324"
382,David Bowers,"$485,945,936",7,"$69,420,848"
383,Tate Taylor,"$485,803,895",8,"$60,725,487"
384,Dominic Sena,"$485,499,998",5,"$97,100,000"
385,Cal Brunker,"$484,763,968",5,"$96,952,794"
386,Mark Dindal,"$483,262,998",4,"$120,815,750"
387,Elizabeth Banks,"$481,581,564",7,"$68,797,366"
388,Sharon Maguire,"$479,893,436",3,"$159,964,479"
389,Gus Van Sant,"$479,881,582",17,"$28,228,328"
390,Xiaogang Feng,"$477,941,754",7,"$68,277,393"
391,Michael Gracey,"$475,725,966",4,"$118,931,492"
392,Jon Amiel,"$474,809,599",9,"$52,756,622"
393,Mark Steven Johnson,"$474,487,895",9,"$52,720,877"
394,George Cukor,"$473,639,059",14,"$33,831,361"
395,Chengpeng Dong (董成鹏),"$471,948,892",5,"$94,389,778"
396,Xiaozhi Rao (饶晓志),"$471,948,563",3,"$157,316,188"
397,Nick Park,"$471,866,556",8,"$58,983,320"
398,Penny Marshall,"$471,716,719",8,"$58,964,590"
399,Neil Jordan,"$470,774,513",20,"$23,538,726"
400,Daniel Lee,"$466,683,685",6,"$77,780,614"
101,Paul W.S. Anderson,"$1,659,106,850",13,"$127,623,604"
102,Alfonso Cuarón,"$1,643,924,885",9,"$182,658,321"
103,Matthew Vaughn,"$1,631,284,746",8,"$203,910,593"
104,Dean DeBlois,"$1,631,052,684",5,"$326,210,537"
105,Ruben Fleischer,"$1,629,468,419",7,"$232,781,203"
106,Juan Antonio Bayona,"$1,603,579,912",5,"$320,715,982"
107,Robert Rodriguez,"$1,596,273,460",25,"$63,850,938"
108,Andy Muschietti,"$1,583,220,230",6,"$263,870,038"
109,Paul Greengrass,"$1,580,532,627",10,"$158,053,263"
110,Peter Berg,"$1,579,689,134",12,"$131,640,761"
111,Tom Shadyac,"$1,579,209,212",8,"$197,401,152"
112,Antoine Fuqua,"$1,561,366,388",23,"$67,885,495"
113,Stephen Sommers,"$1,544,355,336",8,"$193,044,417"
114,Marc Webb,"$1,540,422,720",8,"$192,552,840"
115,Peter Farrelly,"$1,526,128,386",17,"$89,772,258"
116,Doug Liman,"$1,514,429,811",15,"$100,961,987"
117,Chris Weitz,"$1,512,129,357",9,"$168,014,373"
118,Denis Villeneuve,"$1,492,750,930",8,"$186,593,866"
119,Fan Guo (郭帆),"$1,473,269,601",4,"$368,317,400"
120,Kelly Asbury,"$1,465,917,010",5,"$293,183,402"
121,Lana Wachowski,"$1,465,533,665",7,"$209,361,952"
122,Shane Black,"$1,451,306,046",6,"$241,884,341"
123,Sylvester Stallone,"$1,442,338,864",8,"$180,292,358"
124,Bobby Farrelly,"$1,440,483,847",14,"$102,891,703"
125,Hao Ning,"$1,437,483,629",7,"$205,354,804"
126,Jon M. Chu,"$1,433,632,707",11,"$130,330,246"
127,Steve Martino,"$1,429,334,633",4,"$357,333,658"
128,Tim Story,"$1,425,634,806",18,"$79,201,934"
129,Chris Sanders,"$1,421,090,605",5,"$284,218,121"
130,Jaume Collet-Serra,"$1,417,100,179",12,"$118,091,682"
131,Aaron Horvath,"$1,415,022,031",2,"$707,511,016"
132,Rob Cohen,"$1,412,045,943",14,"$100,860,425"
133,Scott Derrickson,"$1,395,368,941",10,"$139,536,894"
134,Edward Zwick,"$1,392,979,729",14,"$99,498,552"
135,Genndy Tartakovsky,"$1,382,116,856",5,"$276,423,371"
136,Barry Levinson,"$1,363,627,808",28,"$48,700,993"
137,Michael Jelenic,"$1,363,401,438",1,"$1,363,401,438"
138,Chris Miller,"$1,362,318,413",4,"$340,579,603"
139,Nancy Meyers,"$1,351,418,684",6,"$225,236,447"
140,John Woo,"$1,337,971,394",17,"$78,704,200"
141,Kirk Wise,"$1,334,089,686",5,"$266,817,937"
142,Woody Allen,"$1,325,974,676",50,"$26,519,494"
143,Brad Peyton,"$1,324,749,337",9,"$147,194,371"
144,Jia Ling,"$1,321,313,256",2,"$660,656,628"
145,Hayao Miyazaki,"$1,314,815,304",12,"$109,567,942"
146,Oliver Stone,"$1,309,386,345",22,"$59,517,561"
147,Joachim Ronnin,"$1,284,043,151",2,"$642,021,576"
148,Luc Besson,"$1,275,206,783",17,"$75,012,164"
149,Hu Guan,"$1,274,498,325",5,"$254,899,665"
150,Sydney Pollack,"$1,272,536,860",18,"$70,696,492"
151,George Miller,"$1,270,860,488",14,"$90,775,749"
152,Jan De Bont,"$1,266,649,848",6,"$211,108,308"
153,Guillermo del Toro,"$1,247,844,390",14,"$89,131,742"
154,John McTiernan,"$1,247,500,036",11,"$113,409,094"
155,Phillip Noyce,"$1,238,858,642",16,"$77,428,665"
156,Phil Lord,"$1,238,550,410",6,"$206,425,068"
